model,shape,horizon,state_mse,input_mse
helicopter,circle,18,1.884061,0.056090
helicopter,circle,18,0.264501,0.040885
helicopter,circle,18,0.707470,0.036055
helicopter,circle,18,1.460847,0.034147
helicopter,circle,18,0.326641,0.050059
helicopter,circle,18,0.745843,0.054820
helicopter,circle,18,1.807240,0.047532
helicopter,circle,18,2.131386,0.078384
helicopter,circle,18,2.508413,0.050164
helicopter,circle,18,0.207526,0.034253
helicopter,circle,18,1.908871,0.064202
helicopter,circle,18,1.454594,0.040249
helicopter,circle,18,0.760149,0.051887
helicopter,circle,18,2.156122,0.044615
helicopter,circle,18,1.095922,0.050689
helicopter,circle,18,1.484327,0.039300
helicopter,circle,18,1.086280,0.046756
helicopter,circle,18,0.661439,0.029001
helicopter,circle,18,1.447988,0.044605
helicopter,circle,18,1.002109,0.045477
helicopter,lemniscate,18,0.492037,0.263830
helicopter,lemniscate,18,0.880426,0.233896
helicopter,lemniscate,18,1.499058,0.285613
helicopter,lemniscate,18,1.594741,0.466730
helicopter,lemniscate,18,0.882380,0.334468
helicopter,lemniscate,18,1.546895,0.325908
helicopter,lemniscate,18,1.185818,0.243979
helicopter,lemniscate,18,1.282175,0.372257
helicopter,lemniscate,18,1.202277,0.264853
helicopter,lemniscate,18,0.940482,0.525983
helicopter,lemniscate,18,2.290438,0.252971
helicopter,lemniscate,18,1.249056,0.462437
helicopter,lemniscate,18,1.937164,0.296950
helicopter,lemniscate,18,1.765021,0.350501
helicopter,lemniscate,18,1.751702,0.254403
helicopter,lemniscate,18,0.875345,0.264471
helicopter,lemniscate,18,2.305383,0.262121
helicopter,lemniscate,18,1.273290,0.398538
helicopter,lemniscate,18,1.642221,0.314151
helicopter,lemniscate,18,1.539342,0.400376
