model,shape,horizon,state_mse,input_mse
unicycle,circle,2,0.003005,0.006682
unicycle,circle,3,0.002103,0.017610
unicycle,circle,4,0.000490,0.033238
unicycle,circle,5,0.001014,0.056574
unicycle,circle,6,0.001160,0.065789
unicycle,circle,7,0.000166,0.035371
unicycle,circle,8,0.001281,0.104125
unicycle,circle,9,0.000443,0.081968
unicycle,circle,10,0.000724,0.085679
unicycle,circle,11,0.000374,0.049111
unicycle,circle,12,0.000291,0.043835
unicycle,circle,13,0.000014,0.021745
unicycle,circle,14,0.000339,0.062850
unicycle,circle,15,0.000077,0.026850
unicycle,circle,16,0.000680,0.120743
unicycle,circle,17,0.000235,0.046412
unicycle,circle,18,0.000565,0.110854
unicycle,circle,19,0.000469,0.094386
unicycle,circle,20,0.000102,0.058825
unicycle,circle,2,0.001390,0.007476
unicycle,circle,3,0.000619,0.008559
unicycle,circle,4,0.000085,0.002012
unicycle,circle,5,0.000103,0.007908
unicycle,circle,6,0.000745,0.066471
unicycle,circle,7,0.000445,0.028237
unicycle,circle,8,0.000806,0.060366
unicycle,circle,9,0.000594,0.052623
unicycle,circle,10,0.000120,0.013111
unicycle,circle,11,0.001215,0.145303
unicycle,circle,12,0.000031,0.008895
unicycle,circle,13,0.000384,0.065352
unicycle,circle,14,0.000209,0.060512
unicycle,circle,15,0.000360,0.057573
unicycle,circle,16,0.000299,0.072328
unicycle,circle,17,0.000273,0.047624
unicycle,circle,18,0.000516,0.109585
unicycle,circle,19,0.000779,0.146368
unicycle,circle,20,0.000196,0.041262
unicycle,circle,2,0.000810,0.009240
unicycle,circle,3,0.001719,0.017099
unicycle,circle,4,0.001316,0.026134
unicycle,circle,5,0.001981,0.065798
unicycle,circle,6,0.000780,0.034586
unicycle,circle,7,0.000283,0.018436
unicycle,circle,8,0.000610,0.048048
unicycle,circle,9,0.000058,0.010223
unicycle,circle,10,0.000597,0.080472
unicycle,circle,11,0.000465,0.101697
unicycle,circle,12,0.000127,0.017416
unicycle,circle,13,0.000303,0.048045
unicycle,circle,14,0.000506,0.081332
unicycle,circle,15,0.000048,0.012887
unicycle,circle,16,0.000239,0.044635
unicycle,circle,17,0.000309,0.086245
unicycle,circle,18,0.000759,0.135723
unicycle,circle,19,0.000208,0.037431
unicycle,circle,20,0.000655,0.118862
unicycle,circle,2,0.000491,0.005456
unicycle,circle,3,0.000991,0.010954
unicycle,circle,4,0.001190,0.042437
unicycle,circle,5,0.001819,0.054181
unicycle,circle,6,0.000177,0.020660
unicycle,circle,7,0.000448,0.032054
unicycle,circle,8,0.000549,0.053203
unicycle,circle,9,0.000990,0.106612
unicycle,circle,10,0.000398,0.048087
unicycle,circle,11,0.000280,0.059166
unicycle,circle,12,0.000611,0.098886
unicycle,circle,13,0.000648,0.109549
unicycle,circle,14,0.000216,0.032585
unicycle,circle,15,0.000408,0.076182
unicycle,circle,16,0.000398,0.129617
unicycle,circle,17,0.000261,0.048525
unicycle,circle,18,0.000239,0.050373
unicycle,circle,19,0.000142,0.035789
unicycle,circle,20,0.000625,0.128110
unicycle,circle,2,0.001068,0.012899
unicycle,circle,3,0.001736,0.018684
unicycle,circle,4,0.001225,0.022640
unicycle,circle,5,0.000053,0.005875
unicycle,circle,6,0.001446,0.063122
unicycle,circle,7,0.000396,0.027680
unicycle,circle,8,0.000701,0.052512
unicycle,circle,9,0.000118,0.036772
unicycle,circle,10,0.000027,0.006009
unicycle,circle,11,0.000165,0.026229
unicycle,circle,12,0.001154,0.152344
unicycle,circle,13,0.000376,0.053185
unicycle,circle,14,0.000644,0.117093
unicycle,circle,15,0.000596,0.096931
unicycle,circle,16,0.000409,0.071827
unicycle,circle,17,0.000263,0.047016
unicycle,circle,18,0.000549,0.110042
unicycle,circle,19,0.000514,0.125762
unicycle,circle,20,0.000075,0.024137
unicycle,circle,2,0.001556,0.011583
unicycle,circle,3,0.000922,0.008368
unicycle,circle,4,0.000593,0.010881
unicycle,circle,5,0.000457,0.017426
unicycle,circle,6,0.000413,0.019941
unicycle,circle,7,0.000388,0.039656
unicycle,circle,8,0.001283,0.094318
unicycle,circle,9,0.000239,0.041808
unicycle,circle,10,0.001055,0.108493
unicycle,circle,11,0.000211,0.030893
unicycle,circle,12,0.000080,0.010270
unicycle,circle,13,0.000107,0.021804
unicycle,circle,14,0.000386,0.073756
unicycle,circle,15,0.000221,0.041446
unicycle,circle,16,0.000191,0.046827
