model,shape,horizon,state_mse,input_mse
unicycle,lemniscate,2,0.059627,4.118628
unicycle,lemniscate,3,0.043654,6.797690
unicycle,lemniscate,4,0.038813,8.181071
unicycle,lemniscate,5,0.033189,8.707273
unicycle,lemniscate,6,0.028655,8.877126
unicycle,lemniscate,7,0.025386,8.901588
unicycle,lemniscate,8,0.023089,8.873371
unicycle,lemniscate,9,0.021462,8.828720
unicycle,lemniscate,10,0.020288,8.781095
unicycle,lemniscate,11,0.019425,8.735361
unicycle,lemniscate,12,0.018782,8.693291
unicycle,lemniscate,13,0.018298,8.645811
unicycle,lemniscate,14,0.017932,8.600950
unicycle,lemniscate,15,0.017652,8.562617
unicycle,lemniscate,16,0.017438,8.530763
unicycle,lemniscate,17,0.017273,8.505223
unicycle,lemniscate,18,0.017148,8.485714
unicycle,lemniscate,19,0.017052,8.471850
unicycle,lemniscate,20,0.016980,8.463160
helicopter,lemniscate,2,0.496149,0.034428
helicopter,lemniscate,3,0.110206,0.079460
helicopter,lemniscate,4,0.439101,0.099718
helicopter,lemniscate,5,0.805219,0.099879
helicopter,lemniscate,6,0.404195,0.095756
helicopter,lemniscate,7,0.398126,0.091449
helicopter,lemniscate,8,0.397120,0.087523
helicopter,lemniscate,9,0.397320,0.085233
helicopter,lemniscate,10,0.397706,0.085209
helicopter,lemniscate,11,0.397372,0.086595
helicopter,lemniscate,12,0.397288,0.088332
helicopter,lemniscate,13,0.398534,0.089815
helicopter,lemniscate,14,0.401336,0.090874
helicopter,lemniscate,15,0.406497,0.091678
helicopter,lemniscate,16,0.416180,0.092502
helicopter,lemniscate,17,0.434787,0.093572
helicopter,lemniscate,18,0.471751,0.095165
helicopter,lemniscate,19,0.550287,0.098085
helicopter,lemniscate,20,0.727961,0.104628
