model, shape, horizon, state_mse, input_mse
unicycle, circle, 10, 0.000370, 0.070166
unicycle, circle, 10, 0.001435, 0.326557
unicycle, circle, 10, 0.002640, 0.389758
unicycle, circle, 10, 0.000568, 0.194689
unicycle, circle, 10, 0.000239, 0.064581
unicycle, circle, 10, 0.000836, 0.150041
unicycle, circle, 10, 0.000120, 0.020754
unicycle, circle, 10, 0.000078, 0.040049
unicycle, circle, 10, 0.000427, 0.189544
unicycle, circle, 10, 0.003701, 0.839765
unicycle, leminscate, 10, 0.000902, 0.857007
unicycle, leminscate, 10, 0.001578, 0.996817
unicycle, leminscate, 10, 0.000992, 0.781910
unicycle, leminscate, 10, 0.001104, 0.897588
unicycle, leminscate, 10, 0.001459, 0.902494
unicycle, leminscate, 10, 0.000982, 0.835857
unicycle, leminscate, 10, 0.004985, 1.182404
unicycle, leminscate, 10, 0.002937, 0.864946
unicycle, leminscate, 10, 0.003102, 0.841061
unicycle, leminscate, 10, 0.001343, 0.984082
helicopter, circle, 10, 0.003441, 0.012741
helicopter, circle, 10, 0.009384, 0.033580
helicopter, circle, 10, 0.001865, 0.012492
helicopter, circle, 10, 0.000927, 0.008688
helicopter, circle, 10, 0.004411, 0.010280
helicopter, circle, 10, 0.000188, 0.008458
helicopter, circle, 10, 0.001475, 0.012444
helicopter, circle, 10, 0.000630, 0.009115
helicopter, circle, 10, 0.002019, 0.013534
helicopter, circle, 10, 0.000589, 0.008534
helicopter, leminscate, 10, 0.534140, 0.083543
helicopter, leminscate, 10, 0.530612, 0.075968
helicopter, leminscate, 10, 0.530540, 0.077427
helicopter, leminscate, 10, 0.530804, 0.079499
helicopter, leminscate, 10, 0.531069, 0.077275
helicopter, leminscate, 10, 0.536115, 0.084689
helicopter, leminscate, 10, 0.532707, 0.072799
helicopter, leminscate, 10, 0.532547, 0.083734
helicopter, leminscate, 10, 0.532898, 0.073924
helicopter, leminscate, 10, 0.531407, 0.075058
