model,shape,horizon,state_mse,input_mse
unicycle,circle,10,0.003707,0.399774
unicycle,circle,10,0.002818,0.296747
unicycle,circle,10,0.001192,0.101852
unicycle,circle,10,0.005628,0.585423
unicycle,circle,10,0.003310,0.367231
unicycle,circle,10,0.001397,0.130180
unicycle,circle,10,0.001730,0.245343
unicycle,circle,10,0.004672,0.633973
unicycle,circle,10,0.001829,0.352076
unicycle,circle,10,0.002010,0.140998
unicycle,circle,10,0.003050,0.599032
unicycle,circle,10,0.001985,0.263523
unicycle,circle,10,0.003401,0.541298
unicycle,circle,10,0.005921,0.787514
unicycle,circle,10,0.002578,0.359131
unicycle,circle,10,0.002764,0.312005
unicycle,circle,10,0.006956,1.069291
unicycle,circle,10,0.007767,0.859297
unicycle,circle,10,0.003028,0.396579
unicycle,circle,10,0.001902,0.288598
unicycle,leminscate,10,0.004845,1.351719
unicycle,leminscate,10,0.395476,0.993107
unicycle,leminscate,10,0.004311,1.359886
unicycle,leminscate,10,0.002726,0.804817
unicycle,leminscate,10,0.003680,1.110718
unicycle,leminscate,10,0.005875,1.265402
unicycle,leminscate,10,0.393370,1.212784
unicycle,leminscate,10,0.006281,1.539959
unicycle,leminscate,10,0.003714,1.063312
unicycle,leminscate,10,0.003833,1.202907
unicycle,leminscate,10,0.006307,1.034840
unicycle,leminscate,10,0.391357,0.885515
unicycle,leminscate,10,0.392175,1.043587
unicycle,leminscate,10,0.004178,1.043060
unicycle,leminscate,10,0.393782,0.999237
unicycle,leminscate,10,0.005148,1.451794
unicycle,leminscate,10,0.001812,0.787592
unicycle,leminscate,10,0.003333,0.918202
unicycle,leminscate,10,0.001344,0.758022
unicycle,leminscate,10,0.004711,0.893361
