model,shape,horizon,state_mse,input_mse
unicycle,circle,10,0.000317,0.040350
unicycle,circle,10,0.000339,0.037059
unicycle,circle,10,0.000533,0.085399
unicycle,circle,10,0.000092,0.013127
unicycle,circle,10,0.000244,0.045281
unicycle,circle,10,0.000536,0.072218
unicycle,circle,10,0.000167,0.025689
unicycle,circle,10,0.000736,0.092326
unicycle,circle,10,0.000372,0.055929
unicycle,circle,10,0.000536,0.066128
unicycle,circle,10,0.000038,0.031427
unicycle,circle,10,0.000020,0.010385
unicycle,circle,10,0.000906,0.091957
unicycle,circle,10,0.000235,0.048857
unicycle,circle,10,0.000444,0.073784
unicycle,circle,10,0.000124,0.015966
unicycle,circle,10,0.000162,0.024378
unicycle,circle,10,0.000131,0.023253
unicycle,circle,10,0.000100,0.019822
unicycle,circle,10,0.000462,0.084868
unicycle,circle,10,0.000458,0.051752
unicycle,circle,10,0.000476,0.091889
unicycle,circle,10,0.000507,0.058366
unicycle,circle,10,0.000101,0.018399
unicycle,circle,10,0.000039,0.008549
unicycle,circle,10,0.000213,0.036684
unicycle,circle,10,0.000690,0.077720
unicycle,circle,10,0.000004,0.003449
unicycle,circle,10,0.000499,0.055531
unicycle,circle,10,0.000837,0.102470
unicycle,circle,10,0.000287,0.029115
unicycle,circle,10,0.000688,0.076120
unicycle,circle,10,0.000050,0.006902
unicycle,circle,10,0.000182,0.026662
unicycle,circle,10,0.000648,0.080670
unicycle,circle,10,0.000918,0.107926
unicycle,circle,10,0.000326,0.043141
unicycle,circle,10,0.000686,0.071846
unicycle,circle,10,0.000079,0.019044
unicycle,circle,10,0.000576,0.069340
unicycle,circle,10,0.000281,0.040488
unicycle,circle,10,0.000655,0.080873
unicycle,circle,10,0.000279,0.032136
unicycle,circle,10,0.000481,0.060235
unicycle,circle,10,0.000147,0.017440
unicycle,circle,10,0.000551,0.055828
unicycle,circle,10,0.000329,0.038378
unicycle,circle,10,0.000405,0.059110
unicycle,circle,10,0.000420,0.054061
unicycle,circle,10,0.000059,0.014055
unicycle,circle,10,0.000553,0.058025
unicycle,circle,10,0.000588,0.068751
unicycle,circle,10,0.000909,0.100863
unicycle,circle,10,0.000402,0.042586
unicycle,circle,10,0.000410,0.044250
unicycle,circle,10,0.000735,0.078785
unicycle,circle,10,0.000427,0.056759
unicycle,circle,10,0.000521,0.060424
unicycle,circle,10,0.000439,0.060669
unicycle,circle,10,0.000122,0.013098
unicycle,circle,10,0.000945,0.097116
unicycle,circle,10,0.000500,0.057929
unicycle,circle,10,0.000566,0.065644
unicycle,circle,10,0.000730,0.080724
unicycle,circle,10,0.000011,0.005449
unicycle,circle,10,0.000232,0.036256
unicycle,circle,10,0.000681,0.090391
unicycle,circle,10,0.000686,0.076404
unicycle,circle,10,0.000322,0.040676
unicycle,circle,10,0.000696,0.082210
unicycle,circle,10,0.000401,0.058114
unicycle,circle,10,0.000288,0.029177
unicycle,circle,10,0.000304,0.031651
unicycle,circle,10,0.000437,0.048274
unicycle,circle,10,0.000420,0.052258
unicycle,circle,10,0.000413,0.058177
unicycle,circle,10,0.000124,0.016421
unicycle,circle,10,0.000184,0.018874
unicycle,circle,10,0.000600,0.074884
unicycle,circle,10,0.000494,0.060882
unicycle,circle,10,0.000887,0.092025
unicycle,circle,10,0.000406,0.078173
unicycle,circle,10,0.000366,0.047328
unicycle,circle,10,0.000946,0.097284
unicycle,circle,10,0.001227,0.131881
unicycle,circle,10,0.000836,0.084807
unicycle,circle,10,0.000132,0.030376
unicycle,circle,10,0.000949,0.098163
unicycle,circle,10,0.000202,0.022696
unicycle,circle,10,0.000283,0.046019
unicycle,circle,10,0.000181,0.023005
unicycle,circle,10,0.000406,0.071151
unicycle,circle,10,0.000975,0.102135
unicycle,circle,10,0.001006,0.122863
unicycle,circle,10,0.000407,0.076274
unicycle,circle,10,0.000909,0.093907
unicycle,circle,10,0.000477,0.053884
unicycle,circle,10,0.000810,0.093023
unicycle,circle,10,0.000652,0.066368
unicycle,circle,10,0.000290,0.039877
unicycle,lemniscate,10,0.000930,0.747806
unicycle,lemniscate,10,0.000772,0.707827
unicycle,lemniscate,10,0.000809,0.741573
unicycle,lemniscate,10,0.001016,0.771426
unicycle,lemniscate,10,0.001138,0.817108
unicycle,lemniscate,10,0.000827,0.687945
unicycle,lemniscate,10,0.000744,0.691973
unicycle,lemniscate,10,0.000905,0.718513
unicycle,lemniscate,10,0.000784,0.685299
unicycle,lemniscate,10,0.000773,0.710586
unicycle,lemniscate,10,0.001075,0.789272
unicycle,lemniscate,10,0.000791,0.697364
unicycle,lemniscate,10,0.000847,0.698766
unicycle,lemniscate,10,0.001103,0.815485
unicycle,lemniscate,10,0.000757,0.695590
unicycle,lemniscate,10,0.000814,0.700330
unicycle,lemniscate,10,0.001075,0.811114
unicycle,lemniscate,10,0.000767,0.691416
unicycle,lemniscate,10,0.000838,0.691351
unicycle,lemniscate,10,0.000938,0.730915
unicycle,lemniscate,10,0.000986,0.754767
unicycle,lemniscate,10,0.000908,0.777490
unicycle,lemniscate,10,0.000873,0.698280
unicycle,lemniscate,10,0.000746,0.684466
unicycle,lemniscate,10,0.000725,0.699485
unicycle,lemniscate,10,0.000970,0.766147
unicycle,lemniscate,10,0.000751,0.694851
unicycle,lemniscate,10,0.000905,0.720259
unicycle,lemniscate,10,0.000852,0.750077
unicycle,lemniscate,10,0.001061,0.783017
unicycle,lemniscate,10,0.000973,0.747692
unicycle,lemniscate,10,0.000843,0.726804
unicycle,lemniscate,10,0.000796,0.666126
unicycle,lemniscate,10,0.001067,0.801001
unicycle,lemniscate,10,0.000810,0.690535
unicycle,lemniscate,10,0.001081,0.811207
unicycle,lemniscate,10,0.000779,0.704989
unicycle,lemniscate,10,0.000869,0.749435
unicycle,lemniscate,10,0.001021,0.775261
unicycle,lemniscate,10,0.000836,0.750344
unicycle,lemniscate,10,0.000781,0.727805
unicycle,lemniscate,10,0.000750,0.719878
unicycle,lemniscate,10,0.001130,0.770703
unicycle,lemniscate,10,0.000818,0.713758
unicycle,lemniscate,10,0.000819,0.721332
unicycle,lemniscate,10,0.000798,0.723895
unicycle,lemniscate,10,0.000781,0.704127
unicycle,lemniscate,10,0.001109,0.822098
unicycle,lemniscate,10,0.000757,0.693819
unicycle,lemniscate,10,0.000773,0.718181
unicycle,lemniscate,10,0.000914,0.723048
unicycle,lemniscate,10,0.000812,0.722105
unicycle,lemniscate,10,0.000954,0.759464
unicycle,lemniscate,10,0.000745,0.692467
unicycle,lemniscate,10,0.000995,0.766575
unicycle,lemniscate,10,0.000957,0.760358
unicycle,lemniscate,10,0.000808,0.721575
unicycle,lemniscate,10,0.000878,0.699298
unicycle,lemniscate,10,0.000877,0.729852
unicycle,lemniscate,10,0.000833,0.716700
unicycle,lemniscate,10,0.001014,0.763170
unicycle,lemniscate,10,0.000881,0.754809
unicycle,lemniscate,10,0.000825,0.720109
unicycle,lemniscate,10,0.000754,0.717946
unicycle,lemniscate,10,0.000747,0.702992
unicycle,lemniscate,10,0.001068,0.807715
unicycle,lemniscate,10,0.001148,0.775483
unicycle,lemniscate,10,0.000742,0.700120
unicycle,lemniscate,10,0.000869,0.737646
unicycle,lemniscate,10,0.000951,0.785357
unicycle,lemniscate,10,0.000765,0.709677
unicycle,lemniscate,10,0.000873,0.755061
unicycle,lemniscate,10,0.001022,0.774186
unicycle,lemniscate,10,0.000926,0.745110
unicycle,lemniscate,10,0.000760,0.687366
unicycle,lemniscate,10,0.000849,0.739223
unicycle,lemniscate,10,0.000829,0.705399
unicycle,lemniscate,10,0.000790,0.703176
unicycle,lemniscate,10,0.000834,0.664647
unicycle,lemniscate,10,0.001022,0.796601
unicycle,lemniscate,10,0.000799,0.716744
unicycle,lemniscate,10,0.000961,0.763637
unicycle,lemniscate,10,0.000863,0.700932
unicycle,lemniscate,10,0.001121,0.783397
unicycle,lemniscate,10,0.000952,0.791830
unicycle,lemniscate,10,0.000937,0.752187
unicycle,lemniscate,10,0.001040,0.766369
unicycle,lemniscate,10,0.001051,0.757421
unicycle,lemniscate,10,0.000764,0.698549
unicycle,lemniscate,10,0.000728,0.693758
unicycle,lemniscate,10,0.001115,0.785084
unicycle,lemniscate,10,0.000862,0.736608
unicycle,lemniscate,10,0.000777,0.707529
unicycle,lemniscate,10,0.000807,0.668483
unicycle,lemniscate,10,0.000951,0.760229
unicycle,lemniscate,10,0.000938,0.705104
unicycle,lemniscate,10,0.000971,0.765853
unicycle,lemniscate,10,0.001052,0.812421
unicycle,lemniscate,10,0.000749,0.688076
unicycle,lemniscate,10,0.001031,0.791860
